version,Engine_commit,Snapshot_Hash
3.19.4,a5c24f538d05aaf66f7972fb23959d8cafb9f95a,ee1eb666c76a5cb7746faf39d0b97547
3.21.0-0.0.pre,0d4f78c952552819753a2676b318e181004ba746,75f170bc3de3cc2026e3e159bef60351
3.19.3,2e4ba9c6fb499ccd4e81420543783cc7267ae406,ee1eb666c76a5cb7746faf39d0b97547
3.19.2,04817c99c9fd4956f27505204f7e344335810aed,ee1eb666c76a5cb7746faf39d0b97547
3.20.0-1.2.pre,299e852cb92f27c16c9bee98c4ff3a5dc5b4dfae,de526b6b436ed4145f228d96208f3c94
3.19.1,04817c99c9fd4956f27505204f7e344335810aed,ee1eb666c76a5cb7746faf39d0b97547
3.20.0-1.1.pre,9869d47a2736e75470985949137241c48457bf50,de526b6b436ed4145f228d96208f3c94
3.19.0,04817c99c9fd4956f27505204f7e344335810aed,ee1eb666c76a5cb7746faf39d0b97547
3.19.0-0.4.pre,98820f0a7716715df150f6adc5edd3444a088196,ee1eb666c76a5cb7746faf39d0b97547
3.19.0-0.3.pre,968e2945c75c817f594e2e737bdd7bf68cba6bc0,ee1eb666c76a5cb7746faf39d0b97547
3.16.9,f40e976bedff57e69e1b3d89a7c2a3c617a03dad,f71c76320d35b65f1164dbaa6d95fe09
3.19.0-0.2.pre,4f18bb4dcb99d7e0d94aeff2ffa74e6ddef301cd,2fbca81aa1c7c6f0f5181417a7970d07
3.16.8,6e2ea58a5ccbefcfadc2d4b7b8045fc6c20ab812,f71c76320d35b65f1164dbaa6d95fe09
3.16.7,4a585b79294e830fa89c24924d58a27cc8fbf406,f71c76320d35b65f1164dbaa6d95fe09
3.19.0-0.1.pre,bbebee146508eb837aadb52388069f1fb4037a55,2fbca81aa1c7c6f0f5181417a7970d07
3.16.6,3f3e560236539b7e2702f5ac790b2a4691b32d49,f71c76320d35b65f1164dbaa6d95fe09
3.16.5,3f3e560236539b7e2702f5ac790b2a4691b32d49,f71c76320d35b65f1164dbaa6d95fe09
3.18.0-0.2.pre,39c6dc9bdd3ba2bc387e6e14b72fce5f46abfcae,8b43434a6666a4f8eb2de8ecf8be4f82
3.16.4,54a7145303f0dd9d0f93424a2e124eb4abef5091,f71c76320d35b65f1164dbaa6d95fe09
3.16.3,54a7145303f0dd9d0f93424a2e124eb4abef5091,f71c76320d35b65f1164dbaa6d95fe09
3.18.0-0.1.pre,69f0e5550702bb81458a1987f3054085aeb8353d,8b43434a6666a4f8eb2de8ecf8be4f82
3.16.2,cf7a9d0800f2a5da166dbe0eb9fb2476018269b1,f71c76320d35b65f1164dbaa6d95fe09
3.17.0-0.0.pre,dff66925dcfaced89a892b75a695b2d05a676c5e,2445dfd4be914b9035e6646f36970b3c
3.16.1,22b600f240548c1cf6f5d3f9ae65a5c9e51bc443,f71c76320d35b65f1164dbaa6d95fe09
3.17.0-0.0.pre,dff66925dcfaced89a892b75a695b2d05a676c5e,2445dfd4be914b9035e6646f36970b3c
3.16.0,74d16627b940bb15e50891f82cad6c3e3465bd6d,f71c76320d35b65f1164dbaa6d95fe09
3.16.0-0.5.pre,ab14aba1d5564df418f0e87f6772916c80a9a00a,f71c76320d35b65f1164dbaa6d95fe09
3.16.0-0.4.pre,abdaabc6dc88e20dd0fe290a2d3dfcac03b2706f,f71c76320d35b65f1164dbaa6d95fe09
3.13.9,0545f8705df301877d787107bac1a6e9fc9ee1ad,7dbbeeb8ef7b91338640dca3927636de
3.16.0-0.3.pre,91cde06da08323f25bd4bcc4a1832862f2b58c08,f71c76320d35b65f1164dbaa6d95fe09
3.13.8,767d8c75e898091b925519803830fc2721658d07,7dbbeeb8ef7b91338640dca3927636de
3.16.0-0.2.pre,249cc9b86c45acb7e32b4097bc8a5059b91c888e,f71c76320d35b65f1164dbaa6d95fe09
3.13.7,a794cf2681c6c9fe7b260e0e84de96298dc9c18b,7dbbeeb8ef7b91338640dca3927636de
3.16.0-0.1.pre,7ccdde78a7d174dc0bf0be77102b205e844c7998,f105cf3d66970fb41bf76f12d9b38f6d
3.13.6,a794cf2681c6c9fe7b260e0e84de96298dc9c18b,7dbbeeb8ef7b91338640dca3927636de
3.15.0-15.2.pre,453411bcf3961fef3e6caa57a04e7fc3e9faa037,fd89ca26d38c62af5c097a16d3418736
3.13.5,bd986c5ed20a62dc34b7718c50abc782beae4c33,7dbbeeb8ef7b91338640dca3927636de
3.15.0-15.1.pre,5c861944948efff4217b5f1fe1d04d23de39d54c,fd89ca26d38c62af5c097a16d3418736
3.13.4,9064459a8b0dcd32877107f6002cc429a71659d1,7dbbeeb8ef7b91338640dca3927636de
3.13.3,17a711a7765a198264b20d8c4983f2f6f1271271,7dbbeeb8ef7b91338640dca3927636de
3.13.3,b8d35810e91ab8fc39ba5e7a41bff6f697e8e3a8,7dbbeeb8ef7b91338640dca3927636de
3.14.0-0.2.pre,b93c76ab94207adc619e02b061f864e967983c22,b63f41229f2d3db31322b62c3d39978a
3.13.2,b20183e04096094bcc37d9cde2a4b96f5cc684cf,7dbbeeb8ef7b91338640dca3927636de
3.13.1,b20183e04096094bcc37d9cde2a4b96f5cc684cf,7dbbeeb8ef7b91338640dca3927636de
3.14.0-0.1.pre,f613b678245991e74839f201ecd3f22b75465813,b63f41229f2d3db31322b62c3d39978a
3.13.0,1ac611c64eadbd93c5f5aba5494b8fc3b35ee952,7dbbeeb8ef7b91338640dca3927636de
3.13.0-0.4.pre,73d89ca7c5a20cbddde69ab1a6dff8fe3ecbfd70,7dbbeeb8ef7b91338640dca3927636de
